petal_length,sepal_length,flower
5.1,1.4,Iris-setosa
4.9,1.4,Iris-setosa
4.7,1.3,Iris-setosa
4.6,1.5,Iris-setosa
5,1.4,Iris-setosa
5.4,1.7,Iris-setosa
4.6,1.4,Iris-setosa
5,1.5,Iris-setosa
4.4,1.4,Iris-setosa
4.9,1.5,Iris-setosa
5.4,1.5,Iris-setosa
4.8,1.6,Iris-setosa
4.8,1.4,Iris-setosa
4.3,1.1,Iris-setosa
5.8,1.2,Iris-setosa
5.7,1.5,Iris-setosa
5.4,1.3,Iris-setosa
5.1,1.4,Iris-setosa
5.7,1.7,Iris-setosa
5.1,1.5,Iris-setosa
5.4,1.7,Iris-setosa
5.1,1.5,Iris-setosa
4.6,1,Iris-setosa
5.1,1.7,Iris-setosa
4.8,1.9,Iris-setosa
5,1.6,Iris-setosa
5,1.6,Iris-setosa
5.2,1.5,Iris-setosa
5.2,1.4,Iris-setosa
4.7,1.6,Iris-setosa
4.8,1.6,Iris-setosa
5.4,1.5,Iris-setosa
5.2,1.5,Iris-setosa
5.5,1.4,Iris-setosa
4.9,1.5,Iris-setosa
5,1.2,Iris-setosa
5.5,1.3,Iris-setosa
4.9,1.5,Iris-setosa
4.4,1.3,Iris-setosa
5.1,1.5,Iris-setosa
5,1.3,Iris-setosa
4.5,1.3,Iris-setosa
4.4,1.3,Iris-setosa
5,1.6,Iris-setosa
5.1,1.9,Iris-setosa
4.8,1.4,Iris-setosa
5.1,1.6,Iris-setosa
4.6,1.4,Iris-setosa
5.3,1.5,Iris-setosa
5,1.4,Iris-setosa
7,4.7,Iris-versicolor
6.4,4.5,Iris-versicolor
6.9,4.9,Iris-versicolor
5.5,4,Iris-versicolor
6.5,4.6,Iris-versicolor
5.7,4.5,Iris-versicolor
6.3,4.7,Iris-versicolor
4.9,3.3,Iris-versicolor
6.6,4.6,Iris-versicolor
5.2,3.9,Iris-versicolor
5,3.5,Iris-versicolor
5.9,4.2,Iris-versicolor
6,4,Iris-versicolor
6.1,4.7,Iris-versicolor
5.6,3.6,Iris-versicolor
6.7,4.4,Iris-versicolor
5.6,4.5,Iris-versicolor
5.8,4.1,Iris-versicolor
6.2,4.5,Iris-versicolor
5.6,3.9,Iris-versicolor
5.9,4.8,Iris-versicolor
6.1,4,Iris-versicolor
6.3,4.9,Iris-versicolor
6.1,4.7,Iris-versicolor
6.4,4.3,Iris-versicolor
6.6,4.4,Iris-versicolor
6.8,4.8,Iris-versicolor
6.7,5,Iris-versicolor
6,4.5,Iris-versicolor
5.7,3.5,Iris-versicolor
5.5,3.8,Iris-versicolor
5.5,3.7,Iris-versicolor
5.8,3.9,Iris-versicolor
6,5.1,Iris-versicolor
5.4,4.5,Iris-versicolor
6,4.5,Iris-versicolor
6.7,4.7,Iris-versicolor
6.3,4.4,Iris-versicolor
5.6,4.1,Iris-versicolor
5.5,4,Iris-versicolor
5.5,4.4,Iris-versicolor
6.1,4.6,Iris-versicolor
5.8,4,Iris-versicolor
5,3.3,Iris-versicolor
5.6,4.2,Iris-versicolor
5.7,4.2,Iris-versicolor
5.7,4.2,Iris-versicolor
6.2,4.3,Iris-versicolor
5.1,3,Iris-versicolor
5.7,4.1,Iris-versicolor
